,0
1167,002022.SZ
1168,600641.SH
1169,603811.SH
1170,300470.SZ
1171,002636.SZ
1172,600791.SH
1173,300086.SZ
1174,300012.SZ
1175,300081.SZ
1176,300317.SZ
1177,600337.SH
1178,600545.SH
1179,002708.SZ
1180,600028.SH
1181,002929.SZ
1182,300178.SZ
1183,300611.SZ
1184,300568.SZ
1185,002271.SZ
1186,603879.SH
1187,000572.SZ
1188,603566.SH
1189,002177.SZ
1190,603601.SH
1191,002933.SZ
1192,300264.SZ
1193,000683.SZ
1194,000959.SZ
1195,600853.SH
1196,300286.SZ
1197,300376.SZ
1198,601992.SH
1199,002365.SZ
1200,600312.SH
1201,000778.SZ
1202,002859.SZ
1203,002320.SZ
1204,002008.SZ
1205,000593.SZ
1206,600903.SH
1207,000750.SZ
1208,300491.SZ
1209,002304.SZ
1210,300426.SZ
1211,300021.SZ
1212,600058.SH
1213,300040.SZ
1214,300283.SZ
1215,002026.SZ
1216,600859.SH
1217,002275.SZ
1218,600996.SH
1219,603969.SH
1220,300074.SZ
1221,002545.SZ
1222,600917.SH
1223,002596.SZ
1224,000876.SZ
1225,002748.SZ
1226,603693.SH
1227,000584.SZ
1228,600387.SH
1229,300696.SZ
1230,300371.SZ
1231,300216.SZ
1232,300064.SZ
1233,600380.SH
1234,002926.SZ
1235,300753.SZ
1236,603817.SH
1237,300090.SZ
1238,600385.SH
1239,300238.SZ
1240,600073.SH
1241,002079.SZ
1242,300311.SZ
1243,600661.SH
1244,300323.SZ
1245,300431.SZ
1246,000558.SZ
1247,002405.SZ
1248,000639.SZ
1249,002410.SZ
1250,600530.SH
1251,603323.SH
1252,000557.SZ
1253,600508.SH
1254,600559.SH
1255,300554.SZ
1256,600573.SH
1257,603615.SH
1258,000881.SZ
1259,002865.SZ
1260,601566.SH
1261,603322.SH
1262,603179.SH
1263,600215.SH
1264,002406.SZ
1265,600737.SH
1266,300690.SZ
1267,300386.SZ
1268,000619.SZ
1269,300730.SZ
1270,002172.SZ
1271,002665.SZ
1272,300168.SZ
1273,002448.SZ
1274,300492.SZ
1275,300316.SZ
1276,000700.SZ
1277,600624.SH
1278,000903.SZ
1279,002389.SZ
1280,600298.SH
1281,002694.SZ
1282,002746.SZ
1283,002012.SZ
1284,300592.SZ
1285,300299.SZ
1286,002484.SZ
1287,002051.SZ
1288,002140.SZ
1289,002522.SZ
1290,300504.SZ
1291,300285.SZ
1292,600315.SH
1293,002912.SZ
1294,601808.SH
1295,300116.SZ
1296,600780.SH
1297,600690.SH
1298,300749.SZ
1299,600667.SH
1300,300548.SZ
1301,000524.SZ
1302,601608.SH
1303,603650.SH
1304,603808.SH
1305,603868.SH
1306,002763.SZ
1307,300414.SZ
1308,300190.SZ
1309,603177.SH
1310,002732.SZ
1311,603321.SH
1312,600122.SH
1313,000039.SZ
1314,600833.SH
1315,603328.SH
1316,600570.SH
