WindCodes,IPO_DATE,MKT
000987.SZ,2000/7/18,主板
000988.SZ,2000/6/8,主板
000989.SZ,2000/6/28,主板
000990.SZ,2000/7/6,主板
000993.SZ,2000/7/31,主板
000995.SZ,2000/8/7,主板
000996.SZ,2000/7/18,主板
000997.SZ,2000/8/7,主板
000998.SZ,2000/12/11,主板
000999.SZ,2000/3/9,主板
001696.SZ,1997/3/6,主板
001872.SZ,1993/5/5,主板
001896.SZ,1998/1/22,主板
001914.SZ,1994/9/28,主板
001965.SZ,2017/12/25,主板
001979.SZ,2015/12/30,主板
002001.SZ,2004/6/25,中小板
002002.SZ,2004/6/25,中小板
002003.SZ,2004/6/25,中小板
002004.SZ,2004/6/25,中小板
002005.SZ,2004/6/25,中小板
002006.SZ,2004/6/25,中小板
002007.SZ,2004/6/25,中小板
002008.SZ,2004/6/25,中小板
002009.SZ,2004/6/29,中小板
002010.SZ,2004/6/29,中小板
002011.SZ,2004/7/5,中小板
002012.SZ,2004/7/5,中小板
002013.SZ,2004/7/5,中小板
002014.SZ,2004/7/8,中小板
002015.SZ,2004/7/8,中小板
002016.SZ,2004/7/8,中小板
002017.SZ,2004/7/13,中小板
002019.SZ,2004/7/13,中小板
002020.SZ,2004/7/15,中小板
002021.SZ,2004/7/15,中小板
002022.SZ,2004/7/21,中小板
002023.SZ,2004/7/21,中小板
002024.SZ,2004/7/21,中小板
002025.SZ,2004/7/26,中小板
002026.SZ,2004/7/27,中小板
002027.SZ,2004/8/4,中小板
002028.SZ,2004/8/5,中小板
002029.SZ,2004/8/6,中小板
002030.SZ,2004/8/9,中小板
002031.SZ,2004/8/16,中小板
002032.SZ,2004/8/17,中小板
002033.SZ,2004/8/25,中小板
002034.SZ,2004/8/26,中小板
002035.SZ,2004/9/1,中小板
002036.SZ,2004/9/3,中小板
002037.SZ,2004/9/8,中小板
002038.SZ,2004/9/9,中小板
002039.SZ,2005/3/3,中小板
002040.SZ,2005/3/25,中小板
002041.SZ,2005/4/18,中小板
002042.SZ,2005/4/27,中小板
002043.SZ,2005/5/10,中小板
002044.SZ,2005/5/18,中小板
002045.SZ,2005/5/23,中小板
002046.SZ,2005/5/26,中小板
002047.SZ,2005/5/31,中小板
002048.SZ,2005/6/3,中小板
002049.SZ,2005/6/6,中小板
002050.SZ,2005/6/7,中小板
002051.SZ,2006/6/19,中小板
002052.SZ,2006/6/27,中小板
002053.SZ,2006/6/27,中小板
002054.SZ,2006/7/25,中小板
002055.SZ,2006/7/25,中小板
002056.SZ,2006/8/2,中小板
002057.SZ,2006/8/2,中小板
002058.SZ,2006/8/2,中小板
002059.SZ,2006/8/10,中小板
002060.SZ,2006/8/10,中小板
002061.SZ,2006/8/16,中小板
002062.SZ,2006/8/16,中小板
002063.SZ,2006/8/23,中小板
002064.SZ,2006/8/23,中小板
002065.SZ,2006/8/23,中小板
002066.SZ,2006/8/23,中小板
002067.SZ,2006/9/15,中小板
002068.SZ,2006/9/15,中小板
002069.SZ,2006/9/28,中小板
002071.SZ,2006/10/12,中小板
002072.SZ,2006/10/18,中小板
002073.SZ,2006/10/18,中小板
002074.SZ,2006/10/18,中小板
002075.SZ,2006/10/25,中小板
002076.SZ,2006/10/25,中小板
002077.SZ,2006/11/16,中小板
002078.SZ,2006/11/16,中小板
002079.SZ,2006/11/16,中小板
002080.SZ,2006/11/20,中小板
002081.SZ,2006/11/20,中小板
002082.SZ,2006/11/20,中小板
002083.SZ,2006/11/24,中小板
002084.SZ,2006/11/24,中小板
002085.SZ,2006/11/28,中小板
002086.SZ,2006/11/28,中小板
002087.SZ,2006/11/30,中小板
002088.SZ,2006/11/30,中小板
002089.SZ,2006/11/30,中小板
002090.SZ,2006/12/8,中小板
002091.SZ,2006/12/8,中小板
002092.SZ,2006/12/8,中小板
002093.SZ,2006/12/15,中小板
002094.SZ,2006/12/15,中小板
002095.SZ,2006/12/15,中小板
002096.SZ,2006/12/22,中小板
002097.SZ,2006/12/22,中小板
002098.SZ,2006/12/22,中小板
002099.SZ,2006/12/26,中小板
002100.SZ,2006/12/26,中小板
002101.SZ,2006/12/29,中小板
002102.SZ,2006/12/29,中小板
002103.SZ,2007/1/10,中小板
002104.SZ,2007/1/10,中小板
002105.SZ,2007/1/12,中小板
002106.SZ,2007/1/12,中小板
002107.SZ,2007/1/24,中小板
002108.SZ,2007/1/24,中小板
002109.SZ,2007/1/26,中小板
002110.SZ,2007/1/26,中小板
002111.SZ,2007/1/26,中小板
002112.SZ,2007/2/8,中小板
002113.SZ,2007/2/8,中小板
002114.SZ,2007/2/15,中小板
002115.SZ,2007/2/15,中小板
002116.SZ,2007/2/15,中小板
002117.SZ,2007/3/2,中小板
002118.SZ,2007/3/2,中小板
002119.SZ,2007/3/2,中小板
002120.SZ,2007/3/6,中小板
002121.SZ,2007/3/6,中小板
002122.SZ,2007/3/28,中小板
002123.SZ,2007/3/28,中小板
002124.SZ,2007/4/3,中小板
002125.SZ,2007/4/3,中小板
002126.SZ,2007/4/18,中小板
002127.SZ,2007/4/18,中小板
002128.SZ,2007/4/18,中小板
002129.SZ,2007/4/20,中小板
002130.SZ,2007/4/20,中小板
002131.SZ,2007/4/27,中小板
002132.SZ,2007/4/27,中小板
002133.SZ,2007/4/27,中小板
002134.SZ,2007/5/16,中小板
002135.SZ,2007/5/30,中小板
002136.SZ,2007/5/30,中小板
002137.SZ,2007/6/13,中小板
002138.SZ,2007/6/13,中小板
002139.SZ,2007/6/29,中小板
002140.SZ,2007/7/12,中小板
002141.SZ,2007/7/20,中小板
002142.SZ,2007/7/19,中小板
002144.SZ,2007/8/3,中小板
002145.SZ,2007/8/3,中小板
002146.SZ,2007/8/8,中小板
002147.SZ,2007/8/8,中小板
002148.SZ,2007/8/10,中小板
002149.SZ,2007/8/10,中小板
002150.SZ,2007/8/10,中小板
002151.SZ,2007/8/13,中小板
002152.SZ,2007/8/13,中小板
002153.SZ,2007/8/13,中小板
002154.SZ,2007/8/16,中小板
002155.SZ,2007/8/16,中小板
002156.SZ,2007/8/16,中小板
002157.SZ,2007/8/17,中小板
002158.SZ,2007/8/17,中小板
002159.SZ,2007/8/17,中小板
002160.SZ,2007/8/21,中小板
002161.SZ,2007/8/21,中小板
002162.SZ,2007/8/23,中小板
002163.SZ,2007/8/23,中小板
002164.SZ,2007/8/23,中小板
002165.SZ,2007/9/13,中小板
002166.SZ,2007/9/13,中小板
002167.SZ,2007/9/13,中小板
002168.SZ,2007/9/19,中小板
002169.SZ,2007/9/19,中小板
002170.SZ,2007/9/19,中小板
002171.SZ,2007/9/21,中小板
002172.SZ,2007/9/21,中小板
002173.SZ,2007/9/25,中小板
002174.SZ,2007/9/25,中小板
002175.SZ,2007/10/12,中小板
002176.SZ,2007/10/12,中小板
002177.SZ,2007/11/1,中小板
002178.SZ,2007/11/1,中小板
002179.SZ,2007/11/1,中小板
002180.SZ,2007/11/13,中小板
002181.SZ,2007/11/16,中小板
002182.SZ,2007/11/13,中小板
002183.SZ,2007/11/13,中小板
002184.SZ,2007/11/16,中小板
002185.SZ,2007/11/20,中小板
002186.SZ,2007/11/20,中小板
002187.SZ,2007/11/22,中小板
002188.SZ,2007/11/22,中小板
002189.SZ,2007/12/3,中小板
002190.SZ,2007/12/3,中小板
002191.SZ,2007/12/5,中小板
002192.SZ,2007/12/5,中小板
002193.SZ,2007/12/7,中小板
002194.SZ,2007/12/7,中小板
002195.SZ,2007/12/12,中小板
002196.SZ,2007/12/12,中小板
002197.SZ,2007/12/18,中小板
002198.SZ,2007/12/18,中小板
002199.SZ,2007/12/21,中小板
002200.SZ,2007/12/21,中小板
002201.SZ,2007/12/26,中小板
002202.SZ,2007/12/26,中小板
002203.SZ,2008/1/16,中小板
002204.SZ,2008/1/16,中小板
002205.SZ,2008/1/23,中小板
002206.SZ,2008/1/23,中小板
002207.SZ,2008/1/28,中小板
002208.SZ,2008/1/28,中小板
002209.SZ,2008/1/30,中小板
002210.SZ,2008/1/30,中小板
002211.SZ,2008/2/1,中小板
002212.SZ,2008/2/1,中小板
002213.SZ,2008/2/1,中小板
002214.SZ,2008/2/18,中小板
002215.SZ,2008/2/18,中小板
002216.SZ,2008/2/20,中小板
